Time,timeStamp,avgnoise,magRMS,maxnoise,temperature,totalAccel,xtRaccel,xtRv,ytRaccel,ytRv,ztRaccel,ztRv
2024-03-07 07:00:03,1.70979E+12,86.18177,"[{""N"":""507.5821""},{""N"":""689.4872""},{""N"":""1563.025""}]",86.18177,37.5625,3.14,1.33148,5.984121,2.130814,11.84987,1.889308,11.63984
2024-03-07 06:59:02,1.70979E+12,89.5102,"[{""N"":""549.7942""},{""N"":""590.7897""},{""N"":""1483.253""}]",89.5102,37.5625,2.98,1.131892,4.499814,2.124469,11.84725,1.761243,10.99434
2024-03-07 06:58:03,1.70979E+12,88.66788,"[{""N"":""538.9186""},{""N"":""663.166""},{""N"":""1539.83""}]",88.66788,37.5625,3.1,1.174786,4.559328,2.216216,12.10116,1.821862,11.12415
2024-03-07 06:57:02,1.70979E+12,89.88794,"[{""N"":""557.2981""},{""N"":""571.2381""},{""N"":""1530.571""}]",89.88794,37.5,3.02,1.163912,4.961992,2.149717,11.87958,1.774992,10.95145
2024-03-07 06:56:03,1.70979E+12,88.1109,"[{""N"":""579.3031""},{""N"":""587.5989""},{""N"":""1533.119""}]",88.1109,37.5,3.13,1.260114,5.592129,2.145505,12.19313,1.902196,11.85627
2024-03-07 06:55:02,1.70979E+12,88.10397,"[{""N"":""511.6214""},{""N"":""636.9681""},{""N"":""1576.312""}]",88.10397,37.5,3.04,1.163495,4.412165,2.188467,12.16959,1.76832,11.05693
2024-03-07 06:54:03,1.70979E+12,87.87751,"[{""N"":""512.1761""},{""N"":""622.5906""},{""N"":""1564.676""}]",87.87751,37.5,2.97,1.155734,4.669235,2.098655,11.65073,1.761413,10.75339
2024-03-07 06:53:03,1.70979E+12,87.60681,"[{""N"":""510.0246""},{""N"":""636.853""},{""N"":""1572.292""}]",87.60681,37.5,3.13,1.329466,5.918188,2.104764,11.57416,1.904592,11.54162
2024-03-07 06:52:02,1.70979E+12,89.25616,"[{""N"":""551.8176""},{""N"":""625.1501""},{""N"":""1526.414""}]",89.25616,37.5,3.2,1.310258,6.03616,2.177743,11.98018,1.94219,11.95266
2024-03-07 06:51:03,1.70979E+12,88.39069,"[{""N"":""527.9774""},{""N"":""667.8401""},{""N"":""1541.345""}]",88.39069,37.5,3.26,1.27052,5.636778,2.292906,13.05806,1.935646,12.18784
2024-03-07 06:50:02,1.70979E+12,91.51183,"[{""N"":""565.6986""},{""N"":""567.3898""},{""N"":""1539.707""}]",91.51183,37.5,3.15,1.29292,6.047697,2.160054,11.78942,1.885661,11.50476
2024-03-07 06:49:03,1.70979E+12,88.03625,"[{""N"":""584.505""},{""N"":""581.1777""},{""N"":""1538.135""}]",88.03625,37.5,3.02,1.125951,4.094961,2.173687,11.80213,1.76391,10.58214
2024-03-07 06:46:43,1.70979E+12,89.37376,"[{""N"":""597.2794""},{""N"":""576.7787""},{""N"":""1589.495""}]",89.37376,37.5,3.21,1.209368,5.546349,2.238868,12.60104,1.958089,12.04665
2024-03-07 06:45:44,1.70979E+12,88.48055,"[{""N"":""568.0943""},{""N"":""576.0647""},{""N"":""1578.797""}]",88.48055,37.5,3.29,1.337532,6.833347,2.22825,12.91323,2.018578,12.85275
2024-03-07 06:44:43,1.70979E+12,86.92882,"[{""N"":""585.2391""},{""N"":""623.9163""},{""N"":""1603.621""}]",86.92882,37.5,3.14,1.276008,5.314509,2.189445,11.93107,1.861685,11.36765
2024-03-07 06:43:44,1.70979E+12,88.99389,"[{""N"":""600.2484""},{""N"":""575.2377""},{""N"":""1595.573""}]",88.99389,37.4375,3.03,1.152071,4.482177,2.148899,11.99209,1.803017,11.10753
2024-03-07 06:42:43,1.70979E+12,89.35081,"[{""N"":""582.5571""},{""N"":""628.5331""},{""N"":""1594.146""}]",89.35081,37.4375,3.12,1.255966,5.717736,2.132622,12.01454,1.897556,11.59853
2024-03-07 06:41:44,1.70979E+12,89.00447,"[{""N"":""586.7929""},{""N"":""575.5478""},{""N"":""1590.72""}]",89.00447,37.4375,3.22,1.334426,6.145063,2.189699,11.98025,1.945299,11.91525
2024-03-07 06:40:43,1.70979E+12,87.97414,"[{""N"":""587.9883""},{""N"":""613.4402""},{""N"":""1589.892""}]",87.97414,37.4375,3.27,1.354242,6.61223,2.191407,12.82271,2.020647,12.97508
2024-03-07 06:39:44,1.70979E+12,86.85176,"[{""N"":""594.5541""},{""N"":""571.4945""},{""N"":""1582.413""}]",86.85176,37.375,3.09,1.23616,5.744693,2.105689,11.84714,1.898455,11.67087
2024-03-07 06:38:43,1.70979E+12,88.39851,"[{""N"":""570.5357""},{""N"":""642.8531""},{""N"":""1580.488""}]",88.39851,37.375,3.2,1.342755,6.478931,2.154032,12.61688,1.940508,12.22759
2024-03-07 06:37:44,1.70979E+12,89.73633,"[{""N"":""595.33""},{""N"":""575.8452""},{""N"":""1570.972""}]",89.73633,37.3125,3.18,1.21032,5.066031,2.244939,12.27054,1.891415,11.57138
2024-03-07 06:36:43,1.70979E+12,87.42696,"[{""N"":""532.2964""},{""N"":""680.0826""},{""N"":""1567.203""}]",87.42696,37.3125,3.05,1.187647,5.046842,2.128999,11.91055,1.837158,11.25814
